Year,Private nonprofit four-year,Public four-year,Public two-year
1971,0,0,0
1972,0.04,0.13,0.17
1973,0.03,0.09,0.31
1974,-0.04,-0.02,0.21
1975,-0.06,-0.06,-0.02
1976,-0.01,0.03,0.05
1977,-0.02,0.03,0.08
1978,0,0,0.08
1979,-0.02,-0.04,0.05
1980,-0.03,-0.08,0.01
1981,0,-0.06,0
1982,0.06,0,0.03
1983,0.13,0.09,0.14
1984,0.19,0.12,0.19
1985,0.26,0.16,0.27
1986,0.35,0.22,0.29
1987,0.38,0.24,0.39
1988,0.5,0.26,0.44
1989,0.55,0.29,0.44
1990,0.59,0.39,0.49
1991,0.6,0.47,0.83
1992,0.65,0.57,0.7
1993,0.7,0.67,0.85
1994,0.76,0.73,0.88
1995,0.78,0.74,0.86
1996,0.84,0.8,1
1997,0.91,0.83,1.09
1998,1,0.89,1.03
1999,1.07,0.91,1.11
2000,1.07,0.92,1.03
2001,1.18,1.01,0.94
2002,1.23,1.16,0.98
2003,1.29,1.39,1.22
2004,1.35,1.57,1.35
2005,1.39,1.66,1.38
2006,1.44,1.7,1.38
2007,1.5,1.82,1.35
2008,1.51,1.84,1.31
2009,1.66,2.11,1.55
2010,1.73,2.32,1.69
2011,1.74,2.47,1.81
2012,1.81,2.58,1.93
2013,1.87,2.61,1.97
2014,1.92,2.64,1.99
2015,2.01,2.74,2.04
2016,2.1,2.81,2.07
2017,2.15,2.86,2.11
2018,2.16,2.85,2.1
