Year,Month,Temperature
2020,Jan,35.55
2020,Feb,36.18
2020,Mar,46.08
2020,Apr,50.88
2020,May,60.91
2020,Jun,70.29
2020,Jul,75.65
2020,Aug,74.71
2020,Sept,65.91
2020,Oct,54.28
2020,Nov,46.31
2020,Dec,35.71
2021,Jan,34.59
2021,Feb,30.61
2021,Mar,45.52
2021,Apr,51.87
2021,May,60.35
2021,Jun,72.59
2021,Jul,75.42
2021,Aug,73.98
2021,Sept,67.80
2021,Oct,56.97
2021,Nov,45.07
2021,Dec,39.34
2022,Jan,31.17
2022,Feb,33.69
2022,Mar,44.08
2022,Apr,50.65
2022,May,61.88
2022,Jun,70.79
2022,Jul,76.41
2022,Aug,74.59
2022,Sept,68.02
2022,Oct,55.26
2022,Nov,40.89
2022,Dec,33.06
